Ring;Dump;Azimuth;Burden;Holes;SampleHole;Diameters;Drill;Total Drill;Charge;Configuration;Ungassed Charge Length;Primers;Explosive Amount;Position;PositionX;PositionY;PositionZ;Drawbell;LookDirection;Comments;Rig;Drill Factor;LookDirectionLocal;Look direction short
R1;90;157.0501;0.039 : R3;8;;89 mm;47.2601;47.2601;36.0597;095 03W MPR02A  LHSS   02S;36.0597;8;251.2521;{7120.1296:-23216.0045:-988.7673};7120.1296;-23216.0045;-988.7673;FALSE;SOUTH;;ATLAS COPCO SIMBA S7 D;0;SOUTH;S
R2;90;157.4201;1.518 : R1;8;;89 mm;47.5552;47.5552;34.9537;095 03W MPR02A  LHSS   02S;34.9537;8;243.5464;{7119.0102:-23214.9799:-988.7525};7119.0102;-23214.9799;-988.7525;FALSE;SOUTH;;ATLAS COPCO SIMBA S7 D;0;SOUTH;S
R3;90;132.4682;;21;;89 mm;116.7393;116.7393;85.7198;095 03W MPR02A  LHSS   02S;85.7198;21;597.2679;{7120.1587:-23216.0311:-988.7692};7120.1587;-23216.0311;-988.7692;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R4;90;132.4682;0.041 : R2;21;;89 mm;122.0771;122.0771;91.151;095 03W MPR02A  LHSS   02S;91.151;21;635.1109;{7118.9798:-23214.9521:-988.7527};7118.9798;-23214.9521;-988.7527;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R5;90;132.4682;2.000 : R4;20;;89 mm;105.8701;105.8701;77.7446;095 03W MPR02A  LHSS   02S;77.7446;20;541.6991;{7117.5045:-23213.6018:-988.7645};7117.5045;-23213.6018;-988.7645;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R6;90;132.4682;2.000 : R5;20;;89 mm;103.7572;103.7572;80.3732;095 03W MPR02A  LHSS   02S;80.3732;20;560.0147;{7116.0293:-23212.2514:-988.7763};7116.0293;-23212.2514;-988.7763;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R7;65;132.4682;1.316 : R6;13;;89 mm;82.6402;82.6402;66.8055;095 03W MPR02A  LHSS   02S;66.8055;14;465.4788;{7115.0584:-23211.3628:-988.7798};7115.0584;-23211.3628;-988.7798;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R8;70;132.4682;1.448 : R7;13;;89 mm;83.6186;83.6186;66.9402;095 03W MPR02A  LHSS   02S;66.9402;14;466.4173;{7113.9900:-23210.3849:-988.7717};7113.99;-23210.3849;-988.7717;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R9;75;132.4682;1.804 : R8;12;;89 mm;87.8228;87.8228;65.459;095 03W MPR02A  LHSS   02S;65.459;12;456.097;{7112.6591:-23209.1667:-988.7616};7112.6591;-23209.1667;-988.7616;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R10;80;132.4682;2.098 : R9;16;;89 mm;120.7565;120.7565;90.0385;095 03W MPR02A  LHSS   02S;90.0385;16;627.3588;{7111.1116:-23207.7502:-988.7499};7111.1116;-23207.7502;-988.7499;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R11;80;132.4682;2.607 : R10;15;;89 mm;118.404;118.404;100.6538;095 03W MPR02A  LHSS   02S;100.6538;16;701.3233;{7109.1886:-23205.9901:-988.6973};7109.1886;-23205.9901;-988.6973;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
R12;90;132.4682;1.533 : R11;13;;89 mm;91.4479;91.4479;72.2125;095 03W MPR02A  LHSS   02S;72.2125;13;503.1536;{7108.0583:-23204.9556:-988.6643};7108.0583;-23204.9556;-988.6643;FALSE;EAST;;ATLAS COPCO SIMBA S7 D;0;EAST;E
