Ring;Dump;Azimuth;Burden;Holes;SampleHole;Diameters;Drill;Total Drill;Charge;Configuration;Ungassed Charge Length;Primers;Explosive Amount;Position;PositionX;PositionY;PositionZ;Drawbell;LookDirection;Comments;Rig;Drill Factor
R1;0;298.6496;;14;;76 mm;74.1644;74.1644;0;100 04W CUT03 LHP 07W;0;0;0;{6935.8089:-23448.0854:-1049.7917};6935.8089;-23448.0854;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R2;0;298.6496;2.012 : R1;11;;76 mm;58.9892;58.9892;0;100 04W CUT03 LHP 07W;0;0;0;{6937.6713:-23448.8479:-1049.7917};6937.6713;-23448.8479;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R3;0;298.6496;2.012 : R2;8;;76 mm;50.3907;50.3907;0;100 04W CUT03 LHP 07W;0;0;0;{6939.5338:-23449.6103:-1049.7917};6939.5338;-23449.6103;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R4;0;298.6496;2.006 : R3;7;;76 mm;44.5744;44.5744;0;100 04W CUT03 LHP 07W;0;0;0;{6941.3324:-23450.4897:-1049.7917};6941.3324;-23450.4897;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R5;0;298.6496;2.000 : R4;9;;76 mm;56.1677;56.1677;0;100 04W CUT03 LHP 07W;0;0;0;{6943.0778:-23451.4665:-1049.7917};6943.0778;-23451.4665;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R6;0;298.6496;2.000 : R5;11;;76 mm;61.124;61.124;0;100 04W CUT03 LHP 07W;0;0;0;{6944.8231:-23452.4433:-1049.7917};6944.8231;-23452.4433;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R7;0;298.6496;2.000 : R6;9;;76 mm;89.0179;89.0179;81.5212;100 04W CUT03 LHP 07W;81.5212;9;414.1958;{6946.5684:-23453.4201:-1049.7917};6946.5684;-23453.4201;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R8;0;298.6496;2.000 : R7;16;;76 mm;132.0158;132.0158;105.6147;100 04W CUT03 LHP 07W;105.6147;16;536.6108;{6948.3138:-23454.3969:-1049.7917};6948.3138;-23454.3969;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R9;0;298.6496;2.000 : R8;24;;76 mm;175.9114;175.9114;132.82;100 04W CUT03 LHP 07W;132.82;23;674.8367;{6950.0591:-23455.3738:-1049.7917};6950.0591;-23455.3738;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R10;0;298.6496;2.000 : R9;11;;76 mm;85.9084;85.9084;63.1955;100 04W CUT03 LHP 07W;63.1955;11;321.0862;{6951.8045:-23456.3506:-1049.7917};6951.8045;-23456.3506;-1049.7917;FALSE;WEST;;SIMBA S7-D;0
R11;0;298.6496;2.000 : R10;0;;;0;0;0;100 04W CUT03 LHP 07W;0;0;0;{6953.5498:-23457.3274:-1049.7917};6953.5498;-23457.3274;-1049.7917;FALSE;WEST;;SIMBA S7-D;
R12;0;298.6496;2.000 : R11;0;;;0;0;0;100 04W CUT03 LHP 07W;0;0;0;{6955.2952:-23458.3042:-1049.7917};6955.2952;-23458.3042;-1049.7917;FALSE;WEST;;SIMBA S7-D;
R13;0;298.6496;2.000 : R12;0;;;0;0;0;100 04W CUT03 LHP 07W;0;0;0;{6957.0405:-23459.2810:-1049.7917};6957.0405;-23459.281;-1049.7917;FALSE;WEST;;SIMBA S7-D;
R14;0;298.6496;2.000 : R13;0;;;0;0;0;100 04W CUT03 LHP 07W;0;0;0;{6958.7859:-23460.2579:-1049.7917};6958.7859;-23460.2579;-1049.7917;FALSE;WEST;;SIMBA S7-D;
R15;0;298.6496;2.000 : R14;0;;;0;0;0;100 04W CUT03 LHP 07W;0;0;0;{6960.5312:-23461.2347:-1049.7917};6960.5312;-23461.2347;-1049.7917;FALSE;WEST;;SIMBA S7-D;
R16;0;298.6496;2.000 : R15;0;;;0;0;0;100 04W CUT03 LHP 07W;0;0;0;{6962.2766:-23462.2115:-1049.7917};6962.2766;-23462.2115;-1049.7917;FALSE;WEST;;SIMBA S7-D;
